Nume,Club
Cosma Anastasia,CS Linx Climbing Cluj Napoca
Nemes Lilla,Eco Vertical Alpin
Ilinca Popa,ACS Sepsi Adrenalin 
Szatmari Smaranda,CS Linx Climbing Cluj Napoca
Prejban Ana,One Move Timişoara
Pasc Lara Iunia,ACS Extrem Sport Oradea
Chiorean Evelyn,CS Linx Climbing Cluj Napoca
Iordache Anabel Patricia,CS Linx Climbing Cluj Napoca
Szabo Gabriela,CS Linx Climbing Cluj Napoca
Chisăliță Silvia,Natural High Braşov
Crăciun Silvia,One Move Timișoara
Ştefǎnescu Maria,Natural High Braşov
Nechifor Ema,ACS Sepsi Adrenalin Sf. Gheorghe
Alia Chiorean,Extreme Explorer Cluj Napoca
