name, club
Tudosǎ Constantin,Climber Iaşi
Stamate Ștefan,CS Linx Climbing Cluj Napoca
Cosma Sebastian,CS Linx Climbing Cluj Napoca
Mureşan Lucas,Skai Cluj Napoca
Loica Raul,CS Alternative Timişoara
Rusu Alex,ACS Sepsi Adrenalin Sf. Gheorghe
Cristodorescu Ionuț,CS Alternative Timişoara
Ciocov Filip,One Move Timișoara
Slobozianu Alexandru,Blokx Bucureşti
Jakab Nándor,Extreme Explorer Cluj Napoca
Neagu Vlad,CS Alternative Timişoara
Fogaraşi Botond,6 C Plus Tg Mureș
Ilie David,CS Linx Climbing Cluj Napoca
Lonca Matei Horațiu,CS Linx Climbing Cluj Napoca
