name, club
Fîntîneanu Ana,One Move Timişoara
Stamate Sarah,CS Linx Climbing Cluj Napoca
Petrușel Eliza,CS Linx Climbing Cluj Napoca
Florea Ioana,CSU Știința Politehnica București
Emilia Preda,One Move Timişoara
Neagu Mara,CS Alternative Timişoara
Péterfi Panna,6 C Plus Tg Mureș
Popa Anastasia,ACS Sepsi Adrenalin Sf. Gheorghe
Zaharia Uma,CS Linx Climbing Cluj Napoca
Lucescu Anastasia,Alpin Club Repedea Iaşi
Ianc Ilinca,One Move Timişoara
Oltean Ana,ACS Sepsi Adrenalin Sf. Gheorghe
Böyte Boróka-Anna,CS Linx Climbing Cluj Napoca
